sample,sample_name,stage,context,score,n_cells,mean_score
GSM9237910,P5_AIS,AIS,epithelial,c1q_macrophage,1212,0.11816384070679337
GSM9237910,P5_AIS,AIS,epithelial,inflammatory_macrophage,1212,0.10993424643219066
GSM9237910,P5_AIS,AIS,epithelial,refined_epithelial_progenitor_like,1212,0.7956336108539551
GSM9237910,P5_AIS,AIS,epithelial,refined_spp1_macrophage,1212,0.1959917800612267
GSM9237910,P5_AIS,AIS,epithelial,refined_c1q_macrophage,1212,0.2450987539064446
GSM9237910,P5_AIS,AIS,epithelial,refined_inflammatory_macrophage,1212,0.14927618036044224
GSM9237910,P5_AIS,AIS,macrophage,epithelial,238,0.5894240373974484
GSM9237910,P5_AIS,AIS,macrophage,macrophage,238,1.9865544816123495
GSM9237910,P5_AIS,AIS,macrophage,epithelial_progenitor_like,238,0.17802257369669566
GSM9237910,P5_AIS,AIS,macrophage,spp1_macrophage,238,1.1274096340179645
GSM9237910,P5_AIS,AIS,macrophage,c1q_macrophage,238,2.2700238876977
GSM9237910,P5_AIS,AIS,macrophage,inflammatory_macrophage,238,0.19148282247451665
GSM9237910,P5_AIS,AIS,macrophage,refined_epithelial_progenitor_like,238,0.18946542925078874
GSM9237910,P5_AIS,AIS,macrophage,refined_spp1_macrophage,238,0.19841648192879055
GSM9237910,P5_AIS,AIS,macrophage,refined_c1q_macrophage,238,0.6232151600055348
GSM9237910,P5_AIS,AIS,macrophage,refined_inflammatory_macrophage,238,0.1649598775420093
GSM9237911,P5_LUAD,LUAD,all_cells,epithelial,21109,0.5614499275065158
GSM9237911,P5_LUAD,LUAD,all_cells,macrophage,21109,0.6489857522411528
